Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"AminoBost 5%","AminoBost 5%","Amino Acid, D-Sorbitol & Electrolytes","5%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","SMC Enterprise Ltd","450","450","Rx"
"Aminomax 5%","Aminomax 5%","Amino Acid, D-Sorbitol & Electrolytes","5%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","Globe Pharmaceuticals Ltd.","350","350","Rx"
"Aminomax Gold 7%+10%","Aminomax Gold 7%+10%","Amino acids, Glucose & Electrolytes","7%+10%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","Globe Pharmaceuticals Ltd.","400","400","Rx"
"Aminomix 10%","Aminomix 10%","Amino Acid, D-Sorbitol & Electrolytes","10%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","ACME Laboratories Ltd.","402.72","402.72","Rx"
"Aminomix 5%","Aminomix 5%","Amino Acid, D-Sorbitol & Electrolytes","5%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","ACME Laboratories Ltd.","352.37","352.37","Rx"
"Aminophylline 100 mg","Aminophylline 100 mg","Aminophylline","100 mg","ট্যাবলেট","50 x 10","Bronchodilator, Methyl xanthine derivatives, Respiratory stimulants: analeptics, Theophylline & related drugs","Ambee Pharmaceuticals Ltd.","0.38","0.38","OTC"
"Aminophylline 100 mg","Aminophylline 100 mg","Aminophylline","100 mg","ট্যাবলেট","200's pack","Bronchodilator, Methyl xanthine derivatives, Respiratory stimulants: analeptics, Theophylline & related drugs","Bristol Pharmaceuticals Ltd.","0.95","0.95","OTC"
"Aminophylline 125 mg/5 ml","Aminophylline 125 mg/5 ml","Aminophylline","125 mg/5 ml","IV Injection","1 x 5","Bronchodilator, Methyl xanthine derivatives, Respiratory stimulants: analeptics, Theophylline & related drugs","Ambee Pharmaceuticals Ltd.","5.46","5.46","OTC"
"Aminosin 5%","Aminosin 5%","Amino Acid, D-Sorbitol & Electrolytes","5%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","The IBN SINA Pharmaceutical PLC","350","350","Rx"
"Aminosin Plus 7%+10%","Aminosin Plus 7%+10%","Amino acids, Glucose & Electrolytes","7%+10%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","The IBN SINA Pharmaceutical PLC","400","400","Rx"
"Aminosol Gold 7%+10%","Aminosol Gold 7%+10%","Amino acids, Glucose & Electrolytes","7%+10%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","OSL Pharma Limited","450","450","Rx"
"Aminosol IV 5%+10%","Aminosol IV 5%+10%","Amino Acid, D-sorbitol, Vitamins & Electrolytes","5%+10%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","OSL Pharma Limited","400","400","Rx"
"Aminosol Vit 5%","Aminosol Vit 5%","Amino Acid, D-Sorbitol & Electrolytes","5%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","OSL Pharma Limited","500","500","Rx"
"Aminosteril N-Hepa 8%","Aminosteril N-Hepa 8%","Amino Acid","8%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","Radiant Pharmaceuticals Ltd.","1166","1166","Rx"
"Aminosyn 10%","Aminosyn 10%","Amino Acid, D-Sorbitol & Electrolytes","10%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","UniMed UniHealth Pharmaceuticals Ltd.","560.97","560.97","Rx"
"Amiodarone Hameln 150 mg/3 ml","Amiodarone Hameln 150 mg/3 ml","Amiodarone Hydrochloride","150 mg/3 ml","ইনজেকশন","1 x 10","Potassium channel blockers","ZAS Corporation","240","240","Rx"
"Amiphin 1 gm/vial","Amiphin 1 gm/vial","Ceftriaxone Sodium","1 gm/vial","IV Injection","একক","Third generation cephalosporins","Al-Madina Pharmaceuticals Ltd.","200","200","OTC"
"Amiphin 2 gm/vial","Amiphin 2 gm/vial","Ceftriaxone Sodium","2 gm/vial","IV Injection","একক","Third generation cephalosporins","Al-Madina Pharmaceuticals Ltd.","300","300","OTC"
"Amipride 100 mg","Amipride 100 mg","Amisulpride","100 mg","ট্যাবলেট","2 x 10","Atypical neuroleptic drugs","Beacon Pharmaceuticals PLC","30","30","OTC"
"Amipride 200 mg","Amipride 200 mg","Amisulpride","200 mg","ট্যাবলেট","2 x 10","Atypical neuroleptic drugs","Beacon Pharmaceuticals PLC","50","50","OTC"
"Amipride 50 mg","Amipride 50 mg","Amisulpride","50 mg","ট্যাবলেট","3 x 10","Atypical neuroleptic drugs","Beacon Pharmaceuticals PLC","20","20","OTC"
"Amirid 400 mg","Amirid 400 mg","Metronidazole","400 mg","ট্যাবলেট","10 x 10","Amoebicides, Anti-diarrhoeal antiprotozoal","Veritas Pharmaceuticals Ltd.","1.7","1.7","OTC"
"Amiron 15 mg","Amiron 15 mg","Mirtazapine","15 mg","ট্যাবলেট","3 x 10","Atypical anti-depressant drugs","Orion Pharma Ltd.","10","10","OTC"
"Amiron 30 mg","Amiron 30 mg","Mirtazapine","30 mg","ট্যাবলেট","3 x 10","Atypical anti-depressant drugs","Orion Pharma Ltd.","15","15","OTC"
"Amiron 7.5 mg","Amiron 7.5 mg","Mirtazapine","7.5 mg","ট্যাবলেট","3 x 10","Atypical anti-depressant drugs","Orion Pharma Ltd.","6.5","6.5","OTC"
"Amisol 5%","Amisol 5%","Amino Acid, D-Sorbitol & Electrolytes","5%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","Popular Pharmaceuticals Ltd.","450","450","Rx"
"Amisol Gold 7%+10%","Amisol Gold 7%+10%","Amino acids, Glucose & Electrolytes","7%+10%","আইভি ইনফিউশন","একক","Parenteral nutritional preparations","Popular Pharmaceuticals Ltd.","490","490","Rx"
"Amisure 5 mg/2 ml","Amisure 5 mg/2 ml","Amisulpride","5 mg/2 ml","আইভি ইনফিউশন","1 x 5","Atypical neuroleptic drugs","ACME Laboratories Ltd.","60","60","Rx"
"Amit 10 mg","Amit 10 mg","Amitriptyline Hydrochloride","10 mg","ট্যাবলেট","15 x 10","Tricyclic Anti-depressant","General Pharmaceuticals Ltd.","0.85","0.85","OTC"
"Amit 25 mg","Amit 25 mg","Amitriptyline Hydrochloride","25 mg","ট্যাবলেট","15 x 10","Tricyclic Anti-depressant","General Pharmaceuticals Ltd.","1.76","1.76","OTC"
"Amitip 10 mg","Amitip 10 mg","Amitriptyline Hydrochloride","10 mg","ট্যাবলেট","10 x 10","Tricyclic Anti-depressant","Pacific Pharmaceuticals Ltd.","0.85","0.85","OTC"
"Amitip 25 mg","Amitip 25 mg","Amitriptyline Hydrochloride","25 mg","ট্যাবলেট","5 x 10","Tricyclic Anti-depressant","Pacific Pharmaceuticals Ltd.","1.75","1.75","OTC"
"Amival 0.5 mg+10 mg","Amival 0.5 mg+10 mg","Fluphenazine + Nortriptyline","0.5 mg+10 mg","ট্যাবলেট","100's pack","Combined anxiolytics & anti-depressant drugs","Amico Laboratories Ltd.","0.8","0.8","OTC"
"Amlevo 2.5 mg","Amlevo 2.5 mg","Levamlodipine Maleate","2.5 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","Eskayef Pharmaceuticals Ltd.","7","7","OTC"
"Amlevo 5 mg","Amlevo 5 mg","Levamlodipine Maleate","5 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","Eskayef Pharmaceuticals Ltd.","10","10","OTC"
"Amlex 5%","Amlex 5%","Amlexanox","5%","Oral Paste","একক","","ACI Limited","75.23","75.23","OTC"
"Amlip 5 mg+10 mg","Amlip 5 mg+10 mg","Amlodipine Besilate + Atorvastatin","5 mg+10 mg","ট্যাবলেট","3 x 10","Anti-anginal & lipid lowering drugs","Eskayef Pharmaceuticals Ltd.","11","11","OTC"
"Amlo 5 mg","Amlo 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","50's pack","Calcium-channel blockers","Pharmadesh Laboratories Ltd.","3.5","3.5","OTC"
"Amlobet 5 mg+50 mg","Amlobet 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","5 x 10","Combined antihypertensive preparations","Sun Pharmaceutical (Bangladesh) Ltd.","6","6","OTC"
"Amlocard 10 mg","Amlocard 10 mg","Amlodipine Besilate","10 mg","ট্যাবলেট","4 x 14","Calcium-channel blockers","Drug International Ltd.","7.05","7.05","OTC"
"Amlocard 5 mg","Amlocard 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","4 x 14","Calcium-channel blockers","Drug International Ltd.","5","5","OTC"
"Amlocard Plus 5 mg+25 mg","Amlocard Plus 5 mg+25 mg","Amlodipine Besilate + Atenolol","5 mg+25 mg","ট্যাবলেট","4 x 14","Combined antihypertensive preparations","Drug International Ltd.","6","6","OTC"
"Amlocard Plus 5 mg+50 mg","Amlocard Plus 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","4 x 14","Combined antihypertensive preparations","Drug International Ltd.","7","7","OTC"
"Amlohil 10 mg","Amlohil 10 mg","Amlodipine Besilate","10 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","Goodman Pharmaceuticals Ltd.","6","6","OTC"
"Amlohil 5 mg","Amlohil 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","5 x 10","Calcium-channel blockers","Goodman Pharmaceuticals Ltd.","4.5","4.5","OTC"
"Amlonaaf 5 mg","Amlonaaf 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","5 x 10","Calcium-channel blockers","Naafco Pharma PLC","5","5","OTC"
"Amlopin 10 mg","Amlopin 10 mg","Amlodipine Besilate","10 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","ACME Laboratories Ltd.","7.02","7.02","OTC"
"Amlopin 5 mg","Amlopin 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","5 x 10","Calcium-channel blockers","ACME Laboratories Ltd.","5.01","5.01","OTC"
"Amlosartan 10 mg+160 mg","Amlosartan 10 mg+160 mg","Amlodipine Besilate + Valsartan","10 mg+160 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","Incepta Pharmaceuticals Ltd.","9","9","OTC"
"Amlosartan 5 mg+160 mg","Amlosartan 5 mg+160 mg","Amlodipine Besilate + Valsartan","5 mg+160 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","Incepta Pharmaceuticals Ltd.","8","8","OTC"
"Amlosartan 5 mg+80 mg","Amlosartan 5 mg+80 mg","Amlodipine Besilate + Valsartan","5 mg+80 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","Incepta Pharmaceuticals Ltd.","6","6","OTC"
"Amlosin 5 mg","Amlosin 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","5 x 10","Calcium-channel blockers","Doctor’s Chemical Works Ltd.","4","4","OTC"
"Amlosin Plus 5 mg+25 mg","Amlosin Plus 5 mg+25 mg","Amlodipine Besilate + Atenolol","5 mg+25 mg","ট্যাবলেট","5 x 10","Combined antihypertensive preparations","Doctor’s Chemical Works Ltd.","5","5","OTC"
"Amlosun 5 mg","Amlosun 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","5 x 10","Calcium-channel blockers","Sun Pharmaceutical (Bangladesh) Ltd.","5.02","5.02","OTC"
"Amlotab 10 mg","Amlotab 10 mg","Amlodipine Besilate","10 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","Incepta Pharmaceuticals Ltd.","7","7","OTC"
"Amlotab 5 mg","Amlotab 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","5 x 10","Calcium-channel blockers","Incepta Pharmaceuticals Ltd.","5","5","OTC"
"Amloten 5 mg+25 mg","Amloten 5 mg+25 mg","Amlodipine Besilate + Atenolol","5 mg+25 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","ACME Laboratories Ltd.","5.27","5.27","OTC"
"Amloten 5 mg+50 mg","Amloten 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","5 x 10","Combined antihypertensive preparations","ACME Laboratories Ltd.","8","8","OTC"
"Amlotol Plus 5 mg+50 mg","Amlotol Plus 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","Biogen Pharmaceuticals Ltd.","6","6","OTC"
"Amlovas 10 mg","Amlovas 10 mg","Amlodipine Besilate","10 mg","ট্যাবলেট","3 x 10","Calcium-channel blockers","Popular Pharmaceuticals Ltd.","8","8","OTC"
"Amlovas 5 mg","Amlovas 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","5 x 10","Calcium-channel blockers","Popular Pharmaceuticals Ltd.","5","5","OTC"
"Amlovas AT 5 mg+50 mg","Amlovas AT 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","5 x 10","Combined antihypertensive preparations","Popular Pharmaceuticals Ltd.","6","6","OTC"
"Amlovas VS 10 mg+160 mg","Amlovas VS 10 mg+160 mg","Amlodipine Besilate + Valsartan","10 mg+160 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","Popular Pharmaceuticals Ltd.","16.06","16.06","OTC"
"Amlovas VS 5 mg+160 mg","Amlovas VS 5 mg+160 mg","Amlodipine Besilate + Valsartan","5 mg+160 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","Popular Pharmaceuticals Ltd.","16.06","16.06","OTC"
"Amlovas VS 5 mg+80 mg","Amlovas VS 5 mg+80 mg","Amlodipine Besilate + Valsartan","5 mg+80 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","Popular Pharmaceuticals Ltd.","9.03","9.03","OTC"
"Amlozep 5 mg+10 mg","Amlozep 5 mg+10 mg","Amlodipine Besilate + Benazepril Hydrochloride","5 mg+10 mg","ক্যাপসুল","3 x 10","Combined antihypertensive preparations","Beacon Pharmaceuticals PLC","6.04","6.04","OTC"
"Amobet 0.05%","Amobet 0.05%","Clobetasone Butyrate","0.05%","ক্রিম","একক","Clobetasol / Clobetasone & Combined Preparations","Ad-din Pharmaceuticals Ltd.","30","30","OTC"
"Amocal 10 mg","Amocal 10 mg","Amlodipine Besilate","10 mg","ট্যাবলেট","3 x 14","Calcium-channel blockers","Opsonin Pharma Ltd.","6.04","6.04","OTC"
"Amocal 5 mg","Amocal 5 mg","Amlodipine Besilate","5 mg","ট্যাবলেট","3 x 14","Calcium-channel blockers","Opsonin Pharma Ltd.","5","5","OTC"
"Amocal-AT 5 mg+50 mg","Amocal-AT 5 mg+50 mg","Amlodipine Besilate + Atenolol","5 mg+50 mg","ট্যাবলেট","3 x 14","Combined antihypertensive preparations","Opsonin Pharma Ltd.","6.02","6.02","OTC"
"Amocal-BZ 5 mg+10 mg","Amocal-BZ 5 mg+10 mg","Amlodipine Besilate + Benazepril Hydrochloride","5 mg+10 mg","ক্যাপসুল","3 x 10","Combined antihypertensive preparations","Opsonin Pharma Ltd.","6.02","6.02","OTC"
"Amocap 250 mg","Amocap 250 mg","Amoxicillin Trihydrate","250 mg","ক্যাপসুল","100's pack","Broad spectrum penicillins","Sonear Laboratories Ltd.","3.59","3.59","OTC"
"Amocap 500 mg","Amocap 500 mg","Amoxicillin Trihydrate","500 mg","ক্যাপসুল","40's pack","Broad spectrum penicillins","Sonear Laboratories Ltd.","6.15","6.15","OTC"
"Amocil 125 mg/5 ml","Amocil 125 mg/5 ml","Amoxicillin Trihydrate","125 mg/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","MST Pharma","50","50","OTC"
"Amocil 250 mg","Amocil 250 mg","Amoxicillin Trihydrate","250 mg","ক্যাপসুল","100's pack","Broad spectrum penicillins","MST Pharma","3","3","OTC"
"Amocil 500 mg","Amocil 500 mg","Amoxicillin Trihydrate","500 mg","ক্যাপসুল","50's pack","Broad spectrum penicillins","MST Pharma","6","6","OTC"
"Amocin 125 mg/5 ml","Amocin 125 mg/5 ml","Amoxicillin Trihydrate","125 mg/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","Pacific Pharmaceuticals Ltd.","47.5","47.5","OTC"
"Amocin 250 mg","Amocin 250 mg","Amoxicillin Trihydrate","250 mg","ক্যাপসুল","10 x 10","Broad spectrum penicillins","Pacific Pharmaceuticals Ltd.","3.3","3.3","OTC"
"Amocin 500 mg","Amocin 500 mg","Amoxicillin Trihydrate","500 mg","ক্যাপসুল","5 x 10","Broad spectrum penicillins","Pacific Pharmaceuticals Ltd.","6.7","6.7","OTC"
"Amoclav (1 gm+200 mg)/20 ml","Amoclav (1 gm+200 mg)/20 ml","Amoxicillin + Clavulanic Acid","1 gm+200 mg)/20 ml","IV Injection","একক","Broad spectrum penicillins","Techno Drugs Ltd.","300","300","OTC"
"Amoclav (125 mg+31.25 mg)/5 ml","Amoclav (125 mg+31.25 mg)/5 ml","Amoxicillin + Clavulanic Acid","125 mg+31.25 mg)/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","Techno Drugs Ltd.","220","220","OTC"
"Amoclav 500 mg+125 mg","Amoclav 500 mg+125 mg","Amoxicillin + Clavulanic Acid","500 mg+125 mg","ট্যাবলেট","3 x 6","Broad spectrum penicillins","Techno Drugs Ltd.","28","28","OTC"
"Amoclav 875 mg+125 mg","Amoclav 875 mg+125 mg","Amoxicillin + Clavulanic Acid","875 mg+125 mg","ট্যাবলেট","2 x 6","Broad spectrum penicillins","Techno Drugs Ltd.","40","40","OTC"
"Amoclav Forte (400 mg+57.50 mg)/5 ml","Amoclav Forte (400 mg+57.50 mg)/5 ml","Amoxicillin + Clavulanic Acid","400 mg+57.50 mg)/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","Techno Drugs Ltd.","220","220","OTC"
"Amodis 200 mg/5 ml","Amodis 200 mg/5 ml","Metronidazole","200 mg/5 ml","Oral Suspension","একক","Amoebicides, Anti-diarrhoeal antiprotozoal","Square Pharmaceuticals PLC","35","35","OTC"
"Amodis 400 mg","Amodis 400 mg","Metronidazole","400 mg","ট্যাবলেট","24 x 10","Amoebicides, Anti-diarrhoeal antiprotozoal","Square Pharmaceuticals PLC","1.7","1.7","OTC"
"Amofun 0.25%","Amofun 0.25%","Amorolfine Hydrochloride (cream)","0.25%","ক্রিম","একক","Topical Antifungal preparations","Biopharma Limited","90","90","OTC"
"Amogit 400 mg","Amogit 400 mg","Metronidazole","400 mg","ট্যাবলেট","100's pack","Amoebicides, Anti-diarrhoeal antiprotozoal","Marksman Pharmaceuticals Ltd.","1.03","1.03","OTC"
"Amore Black","Amore Black","Latex condom [Amore]","","Condom","6's pack","","SMC Enterprise Ltd","100","100","OTC"
"Amore Gold","Amore Gold","Latex condom [Amore]","","Condom","6's pack","","SMC Enterprise Ltd","100","100","OTC"
"Amorox 15 mg/5 ml","Amorox 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","United Pharmaceuticals Ltd.","40","40","OTC"
"Amotid 125 mg/1.25 ml","Amotid 125 mg/1.25 ml","Amoxicillin Trihydrate","125 mg/1.25 ml","Pediatric Drops","একক","Broad spectrum penicillins","Biopharma Limited","35","35","OTC"
"Amotid 125 mg/5 ml","Amotid 125 mg/5 ml","Amoxicillin Trihydrate","125 mg/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","Biopharma Limited","70","70","OTC"
"Amotid 250 mg","Amotid 250 mg","Amoxicillin Trihydrate","250 mg","ক্যাপসুল","10 x 10","Broad spectrum penicillins","Biopharma Limited","4","4","OTC"
"Amotid 500 mg","Amotid 500 mg","Amoxicillin Trihydrate","500 mg","ক্যাপসুল","10 x 10","Broad spectrum penicillins","Biopharma Limited","7.5","7.5","OTC"
"Amotid CL (125 mg+31.25 mg)/5 ml","Amotid CL (125 mg+31.25 mg)/5 ml","Amoxicillin + Clavulanic Acid","125 mg+31.25 mg)/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","Biopharma Limited","200","200","OTC"
"Amotid CL 500 mg+125 mg","Amotid CL 500 mg+125 mg","Amoxicillin + Clavulanic Acid","500 mg+125 mg","ট্যাবলেট","4 x 7","Broad spectrum penicillins","Biopharma Limited","30","30","OTC"
"Amotid-F 250 mg/5 ml","Amotid-F 250 mg/5 ml","Amoxicillin Trihydrate","250 mg/5 ml","পাউডার সাসপেনশন","একক","Broad spectrum penicillins","Biopharma Limited","100","100","OTC"
"Amotrex 200 mg","Amotrex 200 mg","Metronidazole","200 mg","ট্যাবলেট","10 x 10","Amoebicides, Anti-diarrhoeal antiprotozoal","ACI Limited","1","1","OTC"
"Amotrex 200 mg/5 ml","Amotrex 200 mg/5 ml","Metronidazole","200 mg/5 ml","Oral Suspension","একক","Amoebicides, Anti-diarrhoeal antiprotozoal","ACI Limited","35","35","OTC"
"Amotrex 400 mg","Amotrex 400 mg","Metronidazole","400 mg","ট্যাবলেট","10 x 10","Amoebicides, Anti-diarrhoeal antiprotozoal","ACI Limited","1.7","1.7","OTC"
"Amotrex 500 mg/100 ml","Amotrex 500 mg/100 ml","Metronidazole","500 mg/100 ml","আইভি ইনফিউশন","একক","Amoebicides, Anti-diarrhoeal antiprotozoal","ACI Limited","85.26","85.26","Rx"
"Amotrex DS 800 mg","Amotrex DS 800 mg","Metronidazole","800 mg","ট্যাবলেট","10 x 10","Amoebicides, Anti-diarrhoeal antiprotozoal","ACI Limited","2","2","OTC"
"Amovast 5 mg+10 mg","Amovast 5 mg+10 mg","Amlodipine Besilate + Atorvastatin","5 mg+10 mg","ট্যাবলেট","2 x 10","Anti-anginal & lipid lowering drugs","Beacon Pharmaceuticals PLC","11.07","11.07","OTC"
"Amovix (1 gm+200 mg)/20 ml","Amovix (1 gm+200 mg)/20 ml","Amoxicillin + Clavulanic Acid","1 gm+200 mg)/20 ml","IV Injection","একক","Broad spectrum penicillins","OSL Pharma Limited","300","300","OTC"
